id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty
34641,Volkswagen,Beetle,2014,Compact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,33,24
34642,Nissan,Rogue Select FWD,2014,Small Sport Utility Vehicle 2WD,Automatic (variable gear ratios),Front-Wheel Drive,4,2.5,Regular,28,23
34643,Nissan,Rogue Select AWD,2014,Small Sport Utility Vehicle 4WD,Automatic (variable gear ratios),All-Wheel Drive,4,2.5,Regular,27,22
34644,Nissan,GT-R,2015,Subcompact Cars,Auto(AM6),All-Wheel Drive,6,3.8,Premium,23,16
34645,Volvo,S60 AWD,2015,Compact Cars,Automatic (S6),All-Wheel Drive,5,2.5,Regular,29,20
34646,Mazda,6,2015,Midsize Cars,Automatic (S6),Front-Wheel Drive,4,2.5,Regular,38,26
34647,Mazda,6,2015,Midsize Cars,Automatic (S6),Front-Wheel Drive,4,2.5,Regular,40,28
34648,Mazda,6,2015,Midsize Cars,Manual 6-spd,Front-Wheel Drive,4,2.5,Regular,37,25
34649,Kia,K900,2015,Large Cars,Automatic 8-spd,Rear-Wheel Drive,6,3.8,Regular,27,18
34650,Kia,K900,2015,Large Cars,Automatic 8-spd,Rear-Wheel Drive,8,5,Premium,23,15
34651,Kia,Sorento FWD,2015,Small Sport Utility Vehicle 2WD,Automatic 6-spd,Front-Wheel Drive,6,3.3,Regular,25,18
34652,Mazda,CX-5 2WD,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,4,2,Regular,32,26
34653,Mazda,CX-5 2WD,2015,Small Sport Utility Vehicle 2WD,Manual 6-spd,Front-Wheel Drive,4,2,Regular,35,26
34654,Mazda,CX-5 2WD,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,4,2.5,Regular,32,25
34655,Kia,Sorento AWD,2015,Small Sport Utility Vehicle 4WD,Automatic 6-spd,All-Wheel Drive,4,2.4,Regular,25,19
34656,Kia,Sorento AWD,2015,Small Sport Utility Vehicle 4WD,Automatic 6-spd,All-Wheel Drive,6,3.3,Regular,24,18
